NC,satisfactory_result,T0,max_iterations,alpha,eps,delta,i_final,final_J,final_D,target_D,final_T,elapsed_time,seed,
10,False,100.0,228,0.97,0.000001,1,228,-0.4249903924909832,3.5021155892608693,,6.853503129613373,10.094313144683838,12093,
10,True,100.0,228,0.97,0.000001,1,228,-0.17800909146161933,3.485714743896979,,8.227771268492447,10.096915483474731,13225,
10,True,100.0,228,0.97,0.000001,1,228,0.49741007108390856,2.8977429798370977,,7.065467143931313,10.094573974609375,7602,
10,False,100.0,228,0.97,0.000001,1,228,0.050315638228463314,3.8988124360100445,,6.255007261813626,10.042526483535767,1664,
10,True,100.0,228,0.97,0.000001,1,228,0.7853703979460801,3.2927574538955255,,6.255007261813626,9.973848819732666,10147,
10,False,100.0,228,0.97,0.000001,1,228,-0.6075555093689144,5.08632184963062,,10.183101437903945,9.905138492584229,7878,
10,False,100.0,228,0.97,0.000001,1,228,3.3273391350266834,6.1783197836937935,,6.448461094653223,9.97013545036316,3865,
10,False,100.0,228,0.97,0.000001,1,228,3.1405577734524726,4.381628461683494,,6.853503129613373,10.100980997085571,13995,
10,False,100.0,228,0.97,0.000001,1,228,-0.18876017889708918,4.4791966836273716,,7.980938130437673,9.955254316329956,11379,
10,False,100.0,228,0.97,0.000001,1,228,2.9424595985399153,5.031644274662529,,6.647898035724972,10.038489580154419,14302,
10,False,100.0,228,0.97,0.000001,1,228,3.84798320220021,5.277712431268956,,11.858271750211781,10.313409090042114,1969,
10,False,100.0,228,0.97,0.000001,1,228,4.521511920817708,6.74722375892918,,7.283986746320942,10.172563076019287,7280,
10,False,100.0,228,0.97,0.000001,1,228,0.5268909205014202,4.960586328515893,,9.015026486477025,10.06411337852478,4987,
10,True,100.0,228,0.97,0.000001,1,228,1.5194704102220564,2.536373326665098,,6.255007261813626,12.00300669670105,6810,
10,False,100.0,228,0.97,0.000001,1,228,0.21575187638772575,4.740646424077311,,10.498042719488604,11.497329950332642,12037,
10,False,100.0,228,0.97,0.000001,1,228,4.813505727107864,7.108399556606469,,6.067357043959217,13.00878095626831,15045,
10,True,100.0,228,0.97,0.000001,1,228,-1.0270758177651136,3.141774350093803,,5.88533633264044,12.782796144485474,12189,
10,True,100.0,228,0.97,0.000001,1,228,0.2052784824576745,3.227949539627766,,9.877608394766826,12.66173005104065,10174,
10,False,100.0,228,0.97,0.000001,1,228,-0.10606015319798344,3.9208173022166637,,7.065467143931313,16.586217880249023,14925,
10,True,100.0,228,0.97,0.000001,1,228,0.37589175925597984,3.2413844798275586,,9.581280142923822,17.050679683685303,8984,
10,False,100.0,228,0.97,0.000001,1,228,3.6222660797478317,5.712182144069861,,8.744575691882714,13.930132865905762,13195,
10,False,100.0,228,0.97,0.000001,1,228,0.478363425796216,4.498736338252647,,9.015026486477025,12.038478374481201,12486,
10,False,100.0,228,0.97,0.000001,1,228,4.862888492595801,5.399025759089693,,5.7087762426612265,17.641632318496704,14960,
10,False,100.0,228,0.97,0.000001,1,228,5.855125459976209,10.895987396530577,,6.448461094653223,27.285347938537598,625,
10,False,100.0,228,0.97,0.000001,1,228,0.5566317780264712,3.9367556229064258,,5.88533633264044,15.488919496536255,14001,
10,False,100.0,228,0.97,0.000001,1,228,0.6901702404812963,4.1243726508165155,,8.744575691882714,33.48884105682373,9695,
10,False,100.0,228,0.97,0.000001,1,228,4.993091349241548,7.104103493013586,,7.741509986524543,17.38270330429077,369,
10,False,100.0,228,0.97,0.000001,1,228,3.3043756622978533,5.9262468350562445,,6.255007261813626,11.994277000427246,8527,
10,True,100.0,228,0.97,0.000001,1,228,1.3152328390376067,3.3986178634595525,,7.065467143931313,12.211199522018433,9251,
10,True,100.0,228,0.97,0.000001,1,228,0.15355555883608377,2.978918407747772,,6.067357043959217,12.266860723495483,8995,
10,True,100.0,228,0.97,0.000001,1,228,0.8189212181483391,3.376839452207726,,11.858271750211781,11.83096694946289,10620,
10,False,100.0,228,0.97,0.000001,1,228,-0.032200119301827826,4.076210880265125,,10.822724453081035,11.409496545791626,11307,
